PAY,CNT,PAY_DATE
"30478,14518",30330,29.03.2012
"32168,37299",33383,30.03.2012
"33111,51366",33518,31.03.2012
"2954,482196",2802,01.04.2012
"36222,40732",33827,02.04.2012
"30735,96032",26841,03.04.2012
"27096,12042",22820,04.04.2012
"26303,66814",21562,05.04.2012
"25405,68719",21200,06.04.2012
"23446,95008",19527,07.04.2012
"2268,155636",2025,08.04.2012
"33400,61448",31283,09.04.2012
"33671,12398",32878,10.04.2012
"35056,81772",36895,11.04.2012
"36244,37925",41326,12.04.2012
"39339,61962",47890,13.04.2012
"33833,52634",40377,14.04.2012
"2763,375524",3350,15.04.2012
"44977,79141",59919,16.04.2012
"52899,28184",66609,17.04.2012
"53191,3464",67240,18.04.2012
"53320,16347",63763,19.04.2012
"44762,78083",52568,20.04.2012
"35025,14342",38785,21.04.2012
"3407,979442",4209,22.04.2012
"41827,91575",47617,23.04.2012
"36060,09309",38383,24.04.2012
"37372,31222",39806,25.04.2012
"31881,38258",33150,26.04.2012
"37176,81343",40442,27.04.2012
"40178,11133",45237,28.04.2012
"3738,127235",4152,29.04.2012
"11912,27683",13824,30.04.2012
"645,6351954",668,01.05.2012
"38739,57558",40649,02.05.2012
"34427,39335",33386,03.05.2012
"31649,64948",29905,04.05.2012
"28142,96613",26113,05.05.2012
"2533,461767",2377,06.05.2012
"9180,790776",8983,07.05.2012
"6191,132655",6189,08.05.2012
"347,2137114",314,09.05.2012
"32267,55761",32623,10.05.2012
"29800,764",29327,11.05.2012
"34552,51262",37650,12.05.2012
"4100,886608",4983,13.05.2012
"48213,51159",61156,14.05.2012
"49964,39938",65448,15.05.2012
"51311,69552",66858,16.05.2012
"49609,38443",64382,17.05.2012
"49218,78031",65806,18.05.2012
"42341,09802",52742,19.05.2012
"4362,895307",6039,20.05.2012
"45790,11312",56784,21.05.2012
"42558,12852",48704,22.05.2012
"36828,66342",40910,23.05.2012
"33774,56095",37365,24.05.2012
"30658,28096",33473,25.05.2012
"23145,55342",24191,26.05.2012
"2205,139684",2408,27.05.2012
"34212,66232",38346,28.05.2012
"31846,94356",34129,29.05.2012
"26952,05768",27967,30.05.2012
"38788,24713",40018,31.05.2012
"29799,67873",28881,01.06.2012
"18797,10089",16864,02.06.2012
"799,201259",761,03.06.2012
"32299,35898",30765,04.06.2012
"29672,2196",26449,05.06.2012
"26897,49466",23519,06.06.2012
"24475,30281",21874,07.06.2012
"25322,80019",23501,08.06.2012
"27158,13588",27044,09.06.2012
"1049,003938",1060,10.06.2012
"11070,76627",13618,11.06.2012
"690,5292154",761,12.06.2012
"40961,40705",53100,13.06.2012
"43926,00149",58755,14.06.2012
"44413,22019",61186,15.06.2012
"38331,74403",51536,16.06.2012
"1328,765909",1690,17.06.2012
"48928,79605",71544,18.06.2012
"52201,46999",70129,19.06.2012
"48200,14333",60113,20.06.2012
"40924,38532",48104,21.06.2012
"34409,01722",39273,22.06.2012
"24916,6953",28247,23.06.2012
"1175,233064",1192,24.06.2012
"39149,97329",44701,25.06.2012
"37197,58473",38487,26.06.2012
"37414,69453",37046,27.06.2012
"39995,46251",38604,28.06.2012
"49614,41602",45442,29.06.2012
"53974,96546",47169,30.06.2012
"1118,327123",1117,01.07.2012
"34391,68646",34687,02.07.2012
"31154,8667",29241,03.07.2012
"26724,80129",24493,04.07.2012
"23512,61454",21478,05.07.2012
"21908,31446",20070,06.07.2012
"14887,66871",13392,07.07.2012
"546,4068688",516,08.07.2012
"24303,50776",23719,09.07.2012
"24820,61",24910,10.07.2012
"25976,85668",29230,11.07.2012
"27625,45642",34747,12.07.2012
"27023,69104",36700,13.07.2012
"26177,13266",36070,14.07.2012
"1149,78101",1528,15.07.2012
"36661,481",54404,16.07.2012
"39668,43592",58709,17.07.2012
"39053,87722",56185,18.07.2012
"37468,83285",54406,19.07.2012
"34564,91324",48489,20.07.2012
"23071,14668",30773,21.07.2012
"850,0381656",1201,22.07.2012
"30387,92527",42630,23.07.2012
"29061,98606",38586,24.07.2012
"28878,86383",37429,25.07.2012
"26875,60594",31911,26.07.2012
"23498,6281",28090,27.07.2012
"16018,30757",20212,28.07.2012
"632,4605968",812,29.07.2012
"26566,51886",34979,30.07.2012
"30257,63821",37692,31.07.2012
"25025,82119",27088,01.08.2012
"25027,28357",25888,02.08.2012
"20637,94074",21936,03.08.2012
"14355,1511",14939,04.08.2012
"694,8341262",703,05.08.2012
"23687,31385",25077,06.08.2012
"19194,07263",19188,07.08.2012
"19522,73788",19148,08.08.2012
"22294,76858",24128,09.08.2012
"23255,42348",27745,10.08.2012
"21069,41323",25686,11.08.2012
"818,1247792",1074,12.08.2012
"31593,54724",42992,13.08.2012
"31492,88493",43421,14.08.2012
"33128,22602",47173,15.08.2012
"35533,75977",53064,16.08.2012
"37640,46273",58065,17.08.2012
"29264,37441",44335,18.08.2012
"1223,765264",1574,19.08.2012
"36923,52494",57874,20.08.2012
"35172,12362",49121,21.08.2012
"30623,30751",41708,22.08.2012
"22610,40535",30732,23.08.2012
"27819,82541",38905,24.08.2012
"20787,24502",27896,25.08.2012
"944,9004908",1152,26.08.2012
"28966,99043",37587,27.08.2012
"27172,87151",34238,28.08.2012
"25410,19157",29952,29.08.2012
"27163,25559",32082,30.08.2012
"31920,20131",35755,31.08.2012
"20050,06502",20610,01.09.2012
"793,4196414",751,02.09.2012
"26917,88491",27445,03.09.2012
"26001,21549",24993,04.09.2012
"22578,18281",20865,05.09.2012
"22049,32626",19550,06.09.2012
"18098,41805",16066,07.09.2012
"18182,32796",16553,08.09.2012
"860,7696494",780,09.09.2012
"25378,49095",24434,10.09.2012
"23260,28198",21804,11.09.2012
"22832,47948",20537,12.09.2012
"21518,89828",19470,13.09.2012
"22552,47305",23298,14.09.2012
"22217,11259",24983,15.09.2012
"1030,636317",1112,16.09.2012
"33339,71586",46072,17.09.2012
"38566,41551",59877,18.09.2012
"41245,79396",65535,19.09.2012
"44082,56677",67328,20.09.2012
"40959,80173",59747,21.09.2012
"34089,99141",47897,22.09.2012
"1328,024393",1747,23.09.2012
"40379,84316",61575,24.09.2012
"38498,90365",54539,25.09.2012
"37234,27975",48988,26.09.2012
"35089,3546",46097,27.09.2012
"34537,50199",45650,28.09.2012
"30877,66183",39568,29.09.2012
"1658,664663",1828,30.09.2012
"41310,76546",43657,01.10.2012
"33246,91818",31444,02.10.2012
"28278,03989",25564,03.10.2012
"23910,47637",20768,04.10.2012
"21500,78702",19161,05.10.2012
"19432,58852",16104,06.10.2012
"1775,721502",1417,07.10.2012
"23638,86875",20012,08.10.2012
"23807,29489",19871,09.10.2012
"21363,33225",17765,10.10.2012
"21617,11411",17993,11.10.2012
"20478,52731",17047,12.10.2012
"18870,05441",15439,13.10.2012
"1870,416274",1454,14.10.2012
"22026,32019",20048,15.10.2012
"27606,32093",29996,16.10.2012
"33822,75543",46589,17.10.2012
"38542,09658",66308,18.10.2012
"41803,9258",72945,19.10.2012
"44032,75723",67066,20.10.2012
"4465,103646",6485,21.10.2012
"49158,61598",74265,22.10.2012
"48099,3365",69174,23.10.2012
"44316,64887",63068,24.10.2012
"42593,11017",59472,25.10.2012
"39005,79684",50866,26.10.2012
"31692,98818",40905,27.10.2012
"3376,07313",4126,28.10.2012
"41460,06435",55922,29.10.2012
"41631,12819",52587,30.10.2012
"39478,81355",45140,31.10.2012
"30899,29694",28956,01.11.2012
"25605,95884",22378,02.11.2012
"20274,26192",17478,03.11.2012
"748,3578534",656,04.11.2012
"6010,7965",4745,05.11.2012
"26042,30594",21734,06.11.2012
"22866,77727",17895,07.11.2012
"21255,02826",16871,08.11.2012
"21179,76941",16662,09.11.2012
"19444,92057",15314,10.11.2012
"1796,402848",1394,11.11.2012
"22030,43209",16694,12.11.2012
"21595,82139",16988,13.11.2012
"22175,22613",21256,14.11.2012
"27868,17012",33358,15.11.2012
"41805,06922",60206,16.11.2012
"44452,64592",63364,17.11.2012
"5800,110766",8170,18.11.2012
"55821,9218",84570,19.11.2012
"59583,94311",84635,20.11.2012
"58235,24038",79527,21.11.2012
"52694,89109",70850,22.11.2012
"48662,67037",66746,23.11.2012
"45816,70619",59646,24.11.2012
"5075,340008",6564,25.11.2012
"49447,70731",65032,26.11.2012
"46775,13368",58868,27.11.2012
"40631,44679",50671,28.11.2012
"38298,32547",48242,29.11.2012
"37337,83497",44343,30.11.2012
"27142,16131",27864,01.12.2012
"2723,285725",2664,02.12.2012
"29769,87849",27867,03.12.2012
"23973,20556",21652,04.12.2012
"21685,63844",18602,05.12.2012
"21058,62473",16618,06.12.2012
"17468,91666",14520,07.12.2012
"17636,25867",14598,08.12.2012
"1705,643924",1510,09.12.2012
"20473,71256",16742,10.12.2012
"19659,87022",14954,11.12.2012
"20158,49156",15663,12.12.2012
"20185,24852",17606,13.12.2012
"24539,44249",24576,14.12.2012
"29192,73002",30989,15.12.2012
"3941,708436",4591,16.12.2012
"45061,93556",58614,17.12.2012
"53714,4082",73603,18.12.2012
"58598,2649",81402,19.12.2012
"63316,47818",82594,20.12.2012
"63188,09939",83239,21.12.2012
"56855,01387",73031,22.12.2012
"7124,240824",9508,23.12.2012
"70321,63563",91458,24.12.2012
"70284,15627",86670,25.12.2012
"68405,13957",79872,26.12.2012
"65944,40799",73046,27.12.2012
"67067,56933",70152,28.12.2012
"69556,97783",69904,29.12.2012
"33661,90081",31722,30.12.2012
"1856,575561",2084,31.12.2012
"42,226214",78,01.01.2013
"113,6030962",90,02.01.2013
"116,7399826",91,03.01.2013
"499,6774642",606,04.01.2013
"450,6868364",552,05.01.2013
"240,3619238",298,06.01.2013
"153,7414026",162,07.01.2013
"521,3002",576,08.01.2013
"37938,11527",35050,09.01.2013
"27553,24146",24861,10.01.2013
"22190,27455",19846,11.01.2013
"19501,52434",17676,12.01.2013
"1828,33427",1629,13.01.2013
"22277,32784",20284,14.01.2013
"26306,41672",26189,15.01.2013
"32336,19269",35958,16.01.2013
"40248,92777",49663,17.01.2013
"52170,09242",68609,18.01.2013
"53226,74187",68434,19.01.2013
"8242,148514",10761,20.01.2013
"69315,39413",91218,21.01.2013
"70896,92306",91313,22.01.2013
"69285,77828",87361,23.01.2013
"65174,51165",81568,24.01.2013
"61510,62455",75283,25.01.2013
"51985,33905",61726,26.01.2013
"5689,651537",6958,27.01.2013
"60183,50518",72076,28.01.2013
"56846,5886",66125,29.01.2013
"54290,73164",61466,30.01.2013
"47877,53322",50783,31.01.2013
"29596,26087",27129,01.02.2013
"24679,17427",22015,02.02.2013
"2450,193873",2138,03.02.2013
"25867,10646",22473,04.02.2013
"22266,26304",18916,05.02.2013
"19999,8616",16566,06.02.2013
"17452,31954",14434,07.02.2013
"17977,75927",14565,08.02.2013
"17659,20061",14929,09.02.2013
"1865,697316",1793,10.02.2013
"20602,28072",17215,11.02.2013
"19581,59408",16921,12.02.2013
"18647,08553",17430,13.02.2013
"18627,13117",17963,14.02.2013
"22181,31341",23020,15.02.2013
"28508,88458",32248,16.02.2013
"4830,845846",5807,17.02.2013
"52749,78749",68211,18.02.2013
"64967,60542",85447,19.02.2013
"74093,9766",95417,20.02.2013
"69895,78304",89660,21.02.2013
"66877,21221",86956,22.02.2013
"3433,7273",4183,23.02.2013
"8589,36508",11285,24.02.2013
"85660,30626",110005,25.02.2013
"83785,3563",102375,26.02.2013
"78436,63519",94598,27.02.2013
"72589,68482",82827,28.02.2013
"41906,93333",43816,01.03.2013
"33293,63019",33635,02.03.2013
"3291,867798",3212,03.03.2013
"30908,84552",30019,04.03.2013
"25847,41584",23878,05.03.2013
"23510,37288",21164,06.03.2013
"18947,79799",17960,07.03.2013
"604,5595188",542,08.03.2013
"7293,76129",6815,09.03.2013
"1888,535834",1794,10.03.2013
"21308,51556",18996,11.03.2013
"22765,70887",18930,12.03.2013
"19547,37075",17019,13.03.2013
"18493,42557",16926,14.03.2013
"22524,70328",24092,15.03.2013
"26255,37702",30029,16.03.2013
"3847,000921",4661,17.03.2013
"40521,32356",53619,18.03.2013
"56172,57799",77404,19.03.2013
"65334,94222",91436,20.03.2013
"66632,3063",92679,21.03.2013
"63538,58601",90176,22.03.2013
"58395,71913",80523,23.03.2013
"7899,56997",11346,24.03.2013
"70057,51792",97973,25.03.2013
"65253,06916",87291,26.03.2013
"58402,76852",76188,27.03.2013
"51426,18138",66236,28.03.2013
"50330,80937",64650,29.03.2013
"43313,50857",54912,30.03.2013
"5628,198065",6801,31.03.2013
"35112,25797",37690,01.04.2013
"27648,25036",27800,02.04.2013
"24175,77766",22982,03.04.2013
"19536,00499",18505,04.04.2013
"18313,71991",16689,05.04.2013
"15055,87031",14101,06.04.2013
"1778,451899",1706,07.04.2013
"18852,30006",16733,08.04.2013
"18295,55223",16186,09.04.2013
"17971,46808",15638,10.04.2013
"16082,14306",14264,11.04.2013
"15838,68974",14110,12.04.2013
"14199,44519",13017,13.04.2013
"2053,87097",2028,14.04.2013
"21486,62393",22619,15.04.2013
"31240,72142",39499,16.04.2013
"46643,55679",69253,17.04.2013
"56235,49301",86908,18.04.2013
"57206,50434",87962,19.04.2013
"54915,45125",80456,20.04.2013
"7575,328468",11180,21.04.2013
"63517,39805",94179,22.04.2013
"61995,57902",87971,23.04.2013
"60049,30542",84280,24.04.2013
"57876,84538",78636,25.04.2013
"53144,74175",72422,26.04.2013
"43555,61859",58032,27.04.2013
"5906,141428",8020,28.04.2013
"62561,27011",83452,29.04.2013
"58846,79123",71038,30.04.2013
"1613,472654",1731,01.05.2013
"1569,138151",1638,02.05.2013
"1258,579831",1365,03.05.2013
"1705,294666",1745,04.05.2013
"2156,188479",2273,05.05.2013
"35382,78064",37415,06.05.2013
"27212,81616",28591,07.05.2013
"24784,48685",24670,08.05.2013
"637,4475542",630,09.05.2013
"5791,171773",5945,10.05.2013
"6156,166561",6167,11.05.2013
"1750,039102",1809,12.05.2013
"23167,50585",22478,13.05.2013
"21483,68455",20898,14.05.2013
"23780,10728",24461,15.05.2013
"26862,68517",32233,16.05.2013
"28741,93863",38588,17.05.2013
"29815,46229",41777,18.05.2013
"4310,237756",6553,19.05.2013
"46725,46382",70186,20.05.2013
"51299,95492",75733,21.05.2013
"51023,74949",75488,22.05.2013
"47891,71438",71610,23.05.2013
"52696,75589",80431,24.05.2013
"38924,16628",58165,25.05.2013
"5766,164425",8608,26.05.2013
"56369,47539",84025,27.05.2013
"55012,01561",78169,28.05.2013
"51697,84655",71683,29.05.2013
"49395,56704",68292,30.05.2013
"45842,0462",60378,31.05.2013
"22669,51968",25242,01.06.2013
"1435,963778",1532,02.06.2013
"29309,2574",31359,03.06.2013
"25511,22651",26197,04.06.2013
"23481,9393",23272,05.06.2013
"21265,56212",20900,06.06.2013
"19009,42054",18794,07.06.2013
"13503,15126",13426,08.06.2013
"1125,855404",1148,09.06.2013
"20308,51321",19947,10.06.2013
"17968,80298",16703,11.06.2013
"1365,621175",1324,12.06.2013
"19833,08454",19303,13.06.2013
"19124,11835",19491,14.06.2013
"17218,4748",19790,15.06.2013
"1611,443773",1891,16.06.2013
"33738,44609",47574,17.06.2013
"44729,11759",68717,18.06.2013
"48619,8869",76773,19.06.2013
"51559,78663",80062,20.06.2013
"52164,31433",78776,21.06.2013
"36747,9551",56228,22.06.2013
"2680,863643",3854,23.06.2013
"54817,23842",86062,24.06.2013
"54890,31482",81834,25.06.2013
"53420,07095",76064,26.06.2013
"51258,27552",72478,27.06.2013
"53599,82608",74837,28.06.2013
"41609,67953",56483,29.06.2013
"4446,092061",5221,30.06.2013
"38458,87217",45071,01.07.2013
"41625,70326",44558,02.07.2013
"30428,45374",32092,03.07.2013
"24256,33514",24945,04.07.2013
"21460,67938",21186,05.07.2013
"14951,42844",14950,06.07.2013
"1188,432881",1205,07.07.2013
"20772,11685",21309,08.07.2013
"19559,5888",19197,09.07.2013
"18935,49522",18074,10.07.2013
"16816,40572",16114,11.07.2013
"16431,53058",15830,12.07.2013
"11408,05121",11305,13.07.2013
"1031,335087",1095,14.07.2013
"19649,19038",22470,15.07.2013
"22286,30574",27579,16.07.2013
"26106,23116",36505,17.07.2013
"32621,57665",50892,18.07.2013
"40707,98069",70566,19.07.2013
"36532,25766",64576,20.07.2013
"2988,638595",4936,21.07.2013
"48654,15206",88214,22.07.2013
"51672,88254",91366,23.07.2013
"52555,40891",89384,24.07.2013
"48655,27629",81101,25.07.2013
"41968,63293",67112,26.07.2013
"28659,96067",45556,27.07.2013
"2437,140732",3569,28.07.2013
"45193,87097",73062,29.07.2013
"42785,59855",66216,30.07.2013
"38958,87218",55087,31.07.2013
"25742,79032",29124,01.08.2013
"20616,60318",22837,02.08.2013
"14432,47993",16275,03.08.2013
"1016,643099",1221,04.08.2013
"21776,60552",23860,05.08.2013
"18933,37815",20347,06.08.2013
"17298,42276",17431,07.08.2013
"15343,66697",15283,08.08.2013
"15557,20104",15356,09.08.2013
"12127,48444",12474,10.08.2013
"1037,070595",1033,11.08.2013
"18434,86547",19737,12.08.2013
"21342,88583",24101,13.08.2013
"24747,10748",32640,14.08.2013
"26610,64223",37841,15.08.2013
"39063,17214",60426,16.08.2013
"31799,6777",50421,17.08.2013
"3152,21336",4641,18.08.2013
"52685,74442",88190,19.08.2013
"56624,02857",90533,20.08.2013
"49799,54831",78879,21.08.2013
"47077,10091",73136,22.08.2013
"44682,17773",68671,23.08.2013
"32300,95531",50032,24.08.2013
"2877,306049",4186,25.08.2013
"46635,16154",72561,26.08.2013
"42886,33338",62220,27.08.2013
"37965,20411",55626,28.08.2013
"36850,56113",52232,29.08.2013
"37753,41098",52539,30.08.2013
"27254,90193",36644,31.08.2013
"2028,935352",2352,01.09.2013
"26989,07659",30618,02.09.2013
"23749,85077",25256,03.09.2013
"21012,30592",21325,04.09.2013
"18518,64749",18224,05.09.2013
"16697,8865",17090,06.09.2013
"12912,69725",12507,07.09.2013
"1177,09478",1193,08.09.2013
"18416,3094",18564,09.09.2013
"18378,33274",17910,10.09.2013
"17511,42669",17739,11.09.2013
"17858,8995",18806,12.09.2013
"18187,20921",20993,13.09.2013
"17619,90876",21825,14.09.2013
"1427,211528",1949,15.09.2013
"37185,22399",57278,16.09.2013
"43001,80478",67140,17.09.2013
"46754,00642",74316,18.09.2013
"49766,04647",78736,19.09.2013
"47168,8036",75912,20.09.2013
"39328,62063",61004,21.09.2013
"3625,28018",5123,22.09.2013
"53012,7308",84448,23.09.2013
"50877,91027",80314,24.09.2013
"51229,41612",77309,25.09.2013
"45145,90813",66813,26.09.2013
"45585,43821",65327,27.09.2013
"38401,90266",54584,28.09.2013
"3660,465766",5118,29.09.2013
"57817,24411",81075,30.09.2013
"35198,19733",38771,01.10.2013
"29262,15502",29887,02.10.2013
"23290,79827",23172,03.10.2013
"20855,83251",20256,04.10.2013
"16029,89331",15581,05.10.2013
"2168,369495",2133,06.10.2013
"21185,33127",19750,07.10.2013
"19690,46119",18649,08.10.2013
"17727,81984",16266,09.10.2013
"18372,46301",17066,10.10.2013
"17370,75197",15728,11.10.2013
"14283,86334",12997,12.10.2013
"2079,447296",2017,13.10.2013
"20252,65863",20641,14.10.2013
"16989,95917",19438,15.10.2013
"36560,2844",48456,16.10.2013
"42176,45267",62031,17.10.2013
"48194,30656",73063,18.10.2013
"47768,79432",69073,19.10.2013
"7791,137759",11461,20.10.2013
"61251,61479",93766,21.10.2013
"62544,00693",93350,22.10.2013
"57407,8335",83927,23.10.2013
"54621,34823",78456,24.10.2013
"49802,09541",70006,25.10.2013
"42303,02777",57552,26.10.2013
"5701,584371",7466,27.10.2013
"52953,35375",73158,28.10.2013
"43278,68929",57521,29.10.2013
"49528,21532",64423,30.10.2013
"43951,68927",54509,31.10.2013
"26951,46701",26805,01.11.2013
"21753,2967",21363,02.11.2013
"2247,423974",2196,03.11.2013
"1562,356866",1414,04.11.2013
"27376,37731",25251,05.11.2013
"24300,68237",21989,06.11.2013
"20633,85556",18369,07.11.2013
"19149,82523",17359,08.11.2013
"19294,12452",17262,09.11.2013
"2736,863101",2487,10.11.2013
"22478,50048",20191,11.11.2013
"20900,09911",19324,12.11.2013
"21068,18853",20129,13.11.2013
"22532,78664",23459,14.11.2013
"30812,18468",34138,15.11.2013
"34833,31155",40965,16.11.2013
"6560,385802",8074,17.11.2013
"61272,27211",83989,18.11.2013
"67574,96827",90658,19.11.2013
"70110,30556",93568,20.11.2013
"65690,71919",85708,21.11.2013
"64180,28846",84679,22.11.2013
"54514,34325",71758,23.11.2013
"8503,378258",10740,24.11.2013
"68913,26565",89849,25.11.2013
"59777,24165",74034,26.11.2013
"50480,03689",61770,27.11.2013
"49780,76803",60293,28.11.2013
"55905,24176",66285,29.11.2013
"49126,18342",56123,30.11.2013
"5141,549394",5070,01.12.2013
"34181,1265",31986,02.12.2013
"28331,20094",25116,03.12.2013
"24841,2889",21740,04.12.2013
"21558,62113",18155,05.12.2013
"21466,66588",17214,06.12.2013
"18883,27128",16010,07.12.2013
"2764,657743",2338,08.12.2013
"21825,67028",18437,09.12.2013
"21289,34022",17595,10.12.2013
"21147,79669",18234,11.12.2013
"23315,97682",20945,12.12.2013
"23646,5237",23070,13.12.2013
"28083,32572",28400,14.12.2013
"5395,88662",6223,15.12.2013
"51655,80606",62600,16.12.2013
"60581,27306",75509,17.12.2013
"66121,26379",84166,18.12.2013
"67726,72086",85362,19.12.2013
"71458,69098",89808,20.12.2013
"63521,01372",78390,21.12.2013
"10822,41383",13107,22.12.2013
"82004,16191",100982,23.12.2013
"78337,19375",94407,24.12.2013
"73277,02071",86010,25.12.2013
"68068,56679",75205,26.12.2013
"66090,69501",71009,27.12.2013
"61745,66527",64900,28.12.2013
"15370,95126",15611,29.12.2013
"74057,72119",73678,30.12.2013
"8229,928478",8358,31.12.2013
"546,786933",515,01.01.2014
"532,7752364",424,02.01.2014
"704,1609014",558,03.01.2014
"1363,303498",1345,04.01.2014
"264,8760446",261,05.01.2014
"239,5561416",174,06.01.2014
"130,5962258",101,07.01.2014
"206,1805204",176,08.01.2014
"44983,55708",39714,09.01.2014
"30171,02713",25418,10.01.2014
"24062,43044",20137,11.01.2014
"3143,91805",2717,12.01.2014
"25877,56748",23025,13.01.2014
"25923,45499",25457,14.01.2014
"31654,43502",32938,15.01.2014
"35431,32952",38875,16.01.2014
"38726,83337",45215,17.01.2014
"42268,1813",51128,18.01.2014
"9513,818028",12075,19.01.2014
"74274,6061",98062,20.01.2014
"84421,51622",110330,21.01.2014
"86197,46309",110838,22.01.2014
"80685,48791",102543,23.01.2014
"82024,35798",103626,24.01.2014
"67640,23565",84515,25.01.2014
"10270,54698",12356,26.01.2014
"77585,9177",94538,27.01.2014
"70079,08869",82961,28.01.2014
"61440,24115",71279,29.01.2014
"58715,46828",67406,30.01.2014
"56306,22231",61376,31.01.2014
"33203,30295",31072,01.02.2014
"5102,871956",4405,02.02.2014
"34208,92522",29827,03.02.2014
"28464,65326",23177,04.02.2014
"26776,21004",21822,05.02.2014
"24216,447",19413,06.02.2014
"21279,86991",16979,07.02.2014
"18829,98706",15686,08.02.2014
"3189,853933",2715,09.02.2014
"26734,02915",21363,10.02.2014
"24542,50054",20368,11.02.2014
"24831,18057",21403,12.02.2014
"24793,17793",23494,13.02.2014
"32993,18382",34400,14.02.2014
"38444,81165",42348,15.02.2014
"7655,785565",8841,16.02.2014
"66348,24399",79810,17.02.2014
"74888,23334",89704,18.02.2014
"81151,64205",95692,19.02.2014
"80869,98612",95572,20.02.2014
"80685,94973",96071,21.02.2014
"68313,48789",80627,22.02.2014
"6189,208897",6780,23.02.2014
"94900,38787",114715,24.02.2014
"94635,20228",110568,25.02.2014
"89037,56339",101702,26.02.2014
"87261,75825",97500,27.02.2014
"85310,79227",91366,28.02.2014
"42522,03402",41581,01.03.2014
"6216,828696",5776,02.03.2014
"42891,57505",38329,03.03.2014
"33896,51371",29054,04.03.2014
"29407,40523",24514,05.03.2014
"27100,17566",22029,06.03.2014
"23208,54725",20128,07.03.2014
"1420,280164",1235,08.03.2014
"3123,699259",2779,09.03.2014
"11603,41672",10536,10.03.2014
"28496,78606",24139,11.03.2014
"26987,96796",23026,12.03.2014
"26698,36231",23602,13.03.2014
"27455,85607",28464,14.03.2014
"30260,21315",32930,15.03.2014
"6431,022725",7505,16.03.2014
"63088,492",79588,17.03.2014
"67387,36748",86090,18.03.2014
"77799,10158",101462,19.03.2014
"81382,94548",103787,20.03.2014
"76703,85801",97137,21.03.2014
"67161,72577",86047,22.03.2014
"10736,18134",13370,23.03.2014
"88626,48752",111694,24.03.2014
"81855,37748",100476,25.03.2014
"69252,34177",82339,26.03.2014
"61720,3736",72857,27.03.2014
"60310,43743",70224,28.03.2014
"48364,22785",56913,29.03.2014
"8492,989479",9843,30.03.2014
"66551,50555",73853,31.03.2014
"40332,11064",36763,01.04.2014
"32515,00584",26796,02.04.2014
"26722,61473",22000,03.04.2014
